Categoria,Ano,Mês,Localidade,Valor Índice
Categoria Desconhecida,2020,01,Brasil,79.26467
Categoria Desconhecida,2020,02,Brasil,92.7084
Categoria Desconhecida,2020,03,Brasil,107.82428
Categoria Desconhecida,2020,04,Brasil,105.12075
Categoria Desconhecida,2020,05,Brasil,112.27007
Categoria Desconhecida,2020,06,Brasil,109.87593
Categoria Desconhecida,2020,07,Brasil,111.58747
Categoria Desconhecida,2020,08,Brasil,108.57664
Categoria Desconhecida,2020,09,Brasil,103.26161
Categoria Desconhecida,2020,10,Brasil,103.87404
Categoria Desconhecida,2020,11,Brasil,87.9456
Categoria Desconhecida,2020,12,Brasil,91.3498
Categoria Desconhecida,2021,01,Brasil,72.63761
Categoria Desconhecida,2021,02,Brasil,82.25346
Categoria Desconhecida,2021,03,Brasil,104.04855
Categoria Desconhecida,2021,04,Brasil,98.76389
Categoria Desconhecida,2021,05,Brasil,106.02078
Categoria Desconhecida,2021,06,Brasil,102.97008
Categoria Desconhecida,2021,07,Brasil,105.7015
Categoria Desconhecida,2021,08,Brasil,99.49645
Categoria Desconhecida,2021,09,Brasil,103.92413
Categoria Desconhecida,2021,10,Brasil,104.59826
Categoria Desconhecida,2021,11,Brasil,97.92141
Categoria Desconhecida,2021,12,Brasil,99.72401
Categoria Desconhecida,2022,01,Brasil,80.40268
Categoria Desconhecida,2022,02,Brasil,91.44263
Categoria Desconhecida,2022,03,Brasil,108.42485
Categoria Desconhecida,2022,04,Brasil,106.65406
Categoria Desconhecida,2022,05,Brasil,110.10935
Categoria Desconhecida,2022,06,Brasil,105.35085
Categoria Desconhecida,2022,07,Brasil,110.88487
Categoria Desconhecida,2022,08,Brasil,106.46019
Categoria Desconhecida,2022,09,Brasil,95.77534
Categoria Desconhecida,2022,10,Brasil,100.32035
Categoria Desconhecida,2022,11,Brasil,91.92083
Categoria Desconhecida,2022,12,Brasil,92.254
Categoria Desconhecida,2023,01,Brasil,84.23355
Categoria Desconhecida,2023,02,Brasil,85.27855
Categoria Desconhecida,2023,03,Brasil,112.05515
Categoria Desconhecida,2023,04,Brasil,108.54814
Categoria Desconhecida,2023,05,Brasil,110.67757
Categoria Desconhecida,2023,06,Brasil,115.44319
Categoria Desconhecida,2023,07,Brasil,116.2113
Categoria Desconhecida,2023,08,Brasil,115.6232
Categoria Desconhecida,2023,09,Brasil,98.16714
Categoria Desconhecida,2023,10,Brasil,94.66587
Categoria Desconhecida,2023,11,Brasil,95.06508
Categoria Desconhecida,2023,12,Brasil,98.15178
Categoria Desconhecida,2024,01,Brasil,92.57557
Categoria Desconhecida,2024,02,Brasil,92.87969
Categoria Desconhecida,2024,03,Brasil,109.32341
Categoria Desconhecida,2024,04,Brasil,107.73879
Categoria Desconhecida,2024,05,Brasil,110.7453
Categoria Desconhecida,2024,06,Brasil,109.47642
Categoria Desconhecida,2024,07,Brasil,110.29442
Categoria Desconhecida,2024,08,Brasil,110.0983
Categoria Desconhecida,2024,09,Brasil,100.47527
Categoria Desconhecida,2019,01,Brasil,74.50101
Categoria Desconhecida,2019,02,Brasil,85.51269
Categoria Desconhecida,2019,03,Brasil,102.52667
Categoria Desconhecida,2019,04,Brasil,104.14111
Categoria Desconhecida,2019,05,Brasil,105.56553
Categoria Desconhecida,2019,06,Brasil,100.10701
Categoria Desconhecida,2019,07,Brasil,102.5829
Categoria Desconhecida,2019,08,Brasil,92.42632
Categoria Desconhecida,2019,09,Brasil,91.56021
Categoria Desconhecida,2019,10,Brasil,96.96649
Categoria Desconhecida,2019,11,Brasil,87.04563
Categoria Desconhecida,2019,12,Brasil,90.80478
Categoria Desconhecida,2020,01,Brasil,74.55897
Categoria Desconhecida,2020,02,Brasil,90.44545
Categoria Desconhecida,2020,03,Brasil,107.33901
Categoria Desconhecida,2020,04,Brasil,106.17932
Categoria Desconhecida,2020,05,Brasil,112.52419
Categoria Desconhecida,2020,06,Brasil,109.16103
Categoria Desconhecida,2020,07,Brasil,109.80444
Categoria Desconhecida,2020,08,Brasil,105.87296
Categoria Desconhecida,2020,09,Brasil,100.12397
Categoria Desconhecida,2020,10,Brasil,98.75771
Categoria Desconhecida,2020,11,Brasil,82.64289
Categoria Desconhecida,2020,12,Brasil,88.0064
Categoria Desconhecida,2021,01,Brasil,66.00662
Categoria Desconhecida,2021,02,Brasil,78.88219
Categoria Desconhecida,2021,03,Brasil,106.81065
Categoria Desconhecida,2021,04,Brasil,102.17766
Categoria Desconhecida,2021,05,Brasil,108.0945
Categoria Desconhecida,2021,06,Brasil,104.7672
Categoria Desconhecida,2021,07,Brasil,106.87269
Categoria Desconhecida,2021,08,Brasil,100.40273
Categoria Desconhecida,2021,09,Brasil,102.38039
Categoria Desconhecida,2021,10,Brasil,103.02311
Categoria Desconhecida,2021,11,Brasil,97.37879
Categoria Desconhecida,2021,12,Brasil,100.7979
Categoria Desconhecida,2022,01,Brasil,78.24731
Categoria Desconhecida,2022,02,Brasil,90.71485
Categoria Desconhecida,2022,03,Brasil,109.51184
Categoria Desconhecida,2022,04,Brasil,106.34612
Categoria Desconhecida,2022,05,Brasil,110.723
Categoria Desconhecida,2022,06,Brasil,104.9428
Categoria Desconhecida,2022,07,Brasil,111.47648
Categoria Desconhecida,2022,08,Brasil,108.47605
Categoria Desconhecida,2022,09,Brasil,96.57273
Categoria Desconhecida,2022,10,Brasil,100.48108
Categoria Desconhecida,2022,11,Brasil,92.36469
Categoria Desconhecida,2022,12,Brasil,90.14306
Categoria Desconhecida,2023,01,Brasil,83.0293
Categoria Desconhecida,2023,02,Brasil,86.05141
