Categoria,Ano,Mês,Localidade,Valor Índice
 Serviços de Tecnologia da Informação,2023,07,Brasil,105.57032
 Serviços de Tecnologia da Informação,2023,08,Brasil,105.84444
 Serviços de Tecnologia da Informação,2023,09,Brasil,105.78719
 Serviços de Tecnologia da Informação,2023,10,Brasil,107.06856
 Serviços de Tecnologia da Informação,2023,11,Brasil,114.28682
 Serviços de Tecnologia da Informação,2023,12,Brasil,129.1507
 Serviços de Tecnologia da Informação,2024,01,Brasil,103.52128
 Serviços de Tecnologia da Informação,2024,02,Brasil,101.65249
 Serviços de Tecnologia da Informação,2024,03,Brasil,115.25614
 Serviços de Tecnologia da Informação,2024,04,Brasil,109.96556
 Serviços de Tecnologia da Informação,2024,05,Brasil,111.64971
 Serviços de Tecnologia da Informação,2024,06,Brasil,117.25629
 Serviços de Tecnologia da Informação,2024,07,Brasil,118.38416
 Serviços de Tecnologia da Informação,2024,08,Brasil,118.62906
 Serviços de Tecnologia da Informação,2024,09,Brasil,122.15588
 Serviços de Tecnologia da Informação,2020,10,Brasil,88.77506
 Serviços de Tecnologia da Informação,2020,11,Brasil,107.4741
 Serviços de Tecnologia da Informação,2020,12,Brasil,115.36628
 Serviços de Tecnologia da Informação,2021,01,Brasil,79.96587
 Serviços de Tecnologia da Informação,2021,02,Brasil,77.49934
 Serviços de Tecnologia da Informação,2021,03,Brasil,84.50565
 Serviços de Tecnologia da Informação,2021,04,Brasil,81.38512
 Serviços de Tecnologia da Informação,2021,05,Brasil,85.68523
 Serviços de Tecnologia da Informação,2021,06,Brasil,98.01741
 Serviços de Tecnologia da Informação,2021,07,Brasil,90.39885
 Serviços de Tecnologia da Informação,2021,08,Brasil,94.95937
 Serviços de Tecnologia da Informação,2021,09,Brasil,95.06307
 Serviços de Tecnologia da Informação,2021,10,Brasil,101.19603
 Serviços de Tecnologia da Informação,2021,11,Brasil,118.03762
 Serviços de Tecnologia da Informação,2021,12,Brasil,130.19146
 Serviços de Tecnologia da Informação,2022,01,Brasil,91.36213
 Serviços de Tecnologia da Informação,2022,02,Brasil,85.71424
 Serviços de Tecnologia da Informação,2022,03,Brasil,97.08467
 Serviços de Tecnologia da Informação,2022,04,Brasil,88.86332
 Serviços de Tecnologia da Informação,2022,05,Brasil,93.49256
 Serviços de Tecnologia da Informação,2022,06,Brasil,98.37702
 Serviços de Tecnologia da Informação,2022,07,Brasil,98.46084
 Serviços de Tecnologia da Informação,2022,08,Brasil,95.60401
 Serviços de Tecnologia da Informação,2022,09,Brasil,95.40761
 Serviços de Tecnologia da Informação,2022,10,Brasil,96.74358
 Serviços de Tecnologia da Informação,2022,11,Brasil,124.59671
 Serviços de Tecnologia da Informação,2022,12,Brasil,134.29332
 Serviços de Tecnologia da Informação,2023,01,Brasil,91.79664
 Serviços de Tecnologia da Informação,2023,02,Brasil,89.71615
 Serviços de Tecnologia da Informação,2023,03,Brasil,106.87554
 Serviços de Tecnologia da Informação,2023,04,Brasil,92.99503
 Serviços de Tecnologia da Informação,2023,05,Brasil,103.22982
 Serviços de Tecnologia da Informação,2023,06,Brasil,102.39735
 Serviços de Tecnologia da Informação,2023,07,Brasil,98.27929
 Serviços de Tecnologia da Informação,2023,08,Brasil,107.70401
 Serviços de Tecnologia da Informação,2023,09,Brasil,107.28574
 Serviços de Tecnologia da Informação,2023,10,Brasil,104.24982
 Serviços de Tecnologia da Informação,2023,11,Brasil,116.0195
 Serviços de Tecnologia da Informação,2023,12,Brasil,119.36631
 Serviços de Tecnologia da Informação,2024,01,Brasil,105.56086
 Serviços de Tecnologia da Informação,2024,02,Brasil,98.968
 Serviços de Tecnologia da Informação,2024,03,Brasil,105.72092
 Serviços de Tecnologia da Informação,2024,04,Brasil,98.38994
 Serviços de Tecnologia da Informação,2024,05,Brasil,101.1227
 Serviços de Tecnologia da Informação,2024,06,Brasil,107.21688
 Serviços de Tecnologia da Informação,2024,07,Brasil,116.32722
 Serviços de Tecnologia da Informação,2024,08,Brasil,109.31013
 Serviços de Tecnologia da Informação,2024,09,Brasil,115.00101
" Serviços audiovisuais, de edição e agências de notícias",2020,10,Brasil,88.77506
" Serviços audiovisuais, de edição e agências de notícias",2020,11,Brasil,107.4741
" Serviços audiovisuais, de edição e agências de notícias",2020,12,Brasil,115.36628
" Serviços audiovisuais, de edição e agências de notícias",2021,01,Brasil,79.96587
" Serviços audiovisuais, de edição e agências de notícias",2021,02,Brasil,77.49934
" Serviços audiovisuais, de edição e agências de notícias",2021,03,Brasil,84.50565
" Serviços audiovisuais, de edição e agências de notícias",2021,04,Brasil,81.38512
" Serviços audiovisuais, de edição e agências de notícias",2021,05,Brasil,85.68523
" Serviços audiovisuais, de edição e agências de notícias",2021,06,Brasil,98.01741
" Serviços audiovisuais, de edição e agências de notícias",2021,07,Brasil,90.39885
" Serviços audiovisuais, de edição e agências de notícias",2021,08,Brasil,94.95937
" Serviços audiovisuais, de edição e agências de notícias",2021,09,Brasil,95.06307
" Serviços audiovisuais, de edição e agências de notícias",2021,10,Brasil,101.19603
" Serviços audiovisuais, de edição e agências de notícias",2021,11,Brasil,118.03762
" Serviços audiovisuais, de edição e agências de notícias",2021,12,Brasil,130.19146
" Serviços audiovisuais, de edição e agências de notícias",2022,01,Brasil,91.36213
" Serviços audiovisuais, de edição e agências de notícias",2022,02,Brasil,85.71424
" Serviços audiovisuais, de edição e agências de notícias",2022,03,Brasil,97.08467
" Serviços audiovisuais, de edição e agências de notícias",2022,04,Brasil,88.86332
" Serviços audiovisuais, de edição e agências de notícias",2022,05,Brasil,93.49256
" Serviços audiovisuais, de edição e agências de notícias",2022,06,Brasil,98.37702
" Serviços audiovisuais, de edição e agências de notícias",2022,07,Brasil,98.46084
" Serviços audiovisuais, de edição e agências de notícias",2022,08,Brasil,95.60401
